path,label,sha256
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Grape___Esca_(Black_Measles)\cc7aef78-dc8b-4116-a0ba-e704667acece___FAM_B.Msls 1801.JPG,Grape___Esca_(Black_Measles),441dde1bca7d1fa647f82a393cbd1bccd0341befd4c443e570fdd9bf1dc4292a
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Orange___Haunglongbing_(Citrus_greening)\d204a2fd-52f6-4675-96f4-00ce11fc2ea4___CREC_HLB 6518.JPG,Orange___Haunglongbing_(Citrus_greening),b37994b47951a6596d72c50cc0e2626e43befaac0f3056b8288163f94e1b92bd
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Soybean___healthy\dd9050d3-763a-4c3f-ad71-862c04337a79___RS_HL 6177.JPG,Soybean___healthy,ab296aeefba78ea76cbbaa1a574d304566b31c9a77b6dfb6256a953f2f843278
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\19501b3c-e32e-4981-be1a-752886103c67___FAM_L.Blight 1622.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0f2fd81a754087631f93afef57739eef311403badcba8526c85763563f1e9c4a
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Orange___Haunglongbing_(Citrus_greening)\73ca2922-071d-4bae-92f7-a65f04942bbb___UF.Citrus_HLB_Lab 0295.JPG,Orange___Haunglongbing_(Citrus_greening),fa63959c1221de12c1ea61ff9e1c5fb4a93acb377be430fc8572e96be630ccd5
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Grape___Black_rot\a4f74c65-e347-4793-9daa-60f87e9f0aad___FAM_B.Rot 5029.JPG,Grape___Black_rot,125e3abcc65cf651a99bf6f7bb57c39beabcd912ce99b077c695555bced10511
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Soybean___healthy\9ed521d2-2fe2-486e-b42f-26347b23e726___RS_HL 6800.JPG,Soybean___healthy,e3c7a52c7ee7ccdae00526179b312807317481f8012e3611779ddfa1b3711607
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f6db71b7-a053-479a-b6fc-ab891ecea0ef___UF.GRC_YLCV_Lab 02111.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,e5cc09c8194c686daa723df43444da3d2eb47e789ffda7c8e12977e7b03e862a
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Corn_(maize)___Northern_Leaf_Blight\4454fe11-5b0f-48b2-9c16-090100c6332e___RS_NLB 4037.JPG,Corn_(maize)___Northern_Leaf_Blight,3f6114388c09b7bf3408ac503ee20643a1ea59d7f76938e5cfed7715a38138e5
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Grape___Esca_(Black_Measles)\4cdf4f8a-ff9c-4255-8c63-307cdd80df86___FAM_B.Msls 1339.JPG,Grape___Esca_(Black_Measles),da1f2f6771602755cdf0de23e15b62355b6fe838183b3b8e6cfb5b7ec35ced5e
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Tomato___Early_blight\f0dfdada-f425-46d7-8cf3-2957850b5a2e___RS_Erly.B 9466.JPG,Tomato___Early_blight,2e66c07ce3ce1e15eafdb5a0b71dfe4ac04ca609620812acdd9f5f837c126a06
C:\Users\DELL\Documents\Codex\2026-09-09\work-directly-on-this-project-do\inspect\data\raw\PlantVillage\train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\435fc789-e79a-477c-a5f3-a2b9a2c3d18e___YLCV_NREC 2661.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,baac7c72f1a58fe3f689e12d1e929400b25239f4d4eb085e586096036099cb33
